,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,roc_auc,specificity
LightGBM,0.863647114474929,0.705250013545226,0.8330671211834778,0.5859673920823046,0.863647114474929,0.607878369064098,0.8363200067189591,0.8260681850591604,0.5859673920823046
XGBoost,0.8631740775780511,0.7029863436414996,0.8346757880597103,0.5973709554184178,0.8631740775780511,0.6209503049370944,0.8395238448333844,0.8238989965411754,0.5973709554184178
LogisticRegression,0.7351387574897509,0.6318179649006372,0.8610731102369037,0.7457680974184882,0.7351387574897509,0.635299263541236,0.7729443249262938,0.820792299589147,0.7457680974184882
RandomForest,0.7863647114474929,0.642682318774257,0.851850505212407,0.7244271316052635,0.7863647114474929,0.6607995809841468,0.8096684346787122,0.8174903450726705,0.7244271316052635
